flow_no,inter_pkt_arrival,duration,connection_status,land,no_of_wrong_frags,no_of_urgent,src_port,dst_port,src_ip,dst_ip,src_mac,dst_mac,src_bytes,dst_bytes,minfpktl,meanfpktl,maxfpktl,stdfpktl,minbpktl,meanbpktl,maxbpktl,stdbpktl,minfiat,meanfiat,maxfiat,stdfiat,minbiat,meanbiat,maxbiat,stdbiat,protocol,fpackets,bpackets
98,0.0,0.000000000,0,0,1,0,58454,24079,192.168.20.106,197.210.64.57,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,2375827721,2917304072,54,54.0,54,0.0,999999,0,0,0,0.0,0.0,0,0.0,9999,0,0,0,eth:ethertype:ip:tcp,1,0
99,0.5378571025641025,20.976427000,0,0,39,0,38948,17885,192.168.20.106,153.101.248.175,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,1764074180,681100848,54,90.08333333333333,378,4300415.083333332,54,2433.0666666666666,13014,1174551634.533333,0.0,0.6958948749999997,7.893369,16.101238200891647,-2.1e-05,0.2849966666666666,0.689868,3.999801735509015,eth:ethertype:ip:tcp:data,24,15
100,1.0493124999999999,6.295875000,0,0,6,0,41248,24265,192.168.20.106,197.210.47.161,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,3779284467,3241203213,54,58.0,74,53888.0,58,58.0,58,0.0,0.0,1.205001,3.360028,4.978929747399696,0.27087,0.27087,0.27087,0.0,eth:ethertype:ip:tcp,5,1
101,1.048704,3.146112000,0,0,3,0,53082,34997,192.168.20.106,160.152.18.225,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,0,1937434970,74,74.0,74,21904.0,999999,0,0,0,0.0,1.048704,2.133274,2.2711758694461923,9999,0,0,0,eth:ethertype:ip:tcp,3,0
102,1.0630053333333331,3.189016000,0,0,3,0,36360,34359,192.168.20.106,200.222.177.108,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,0,3780633102,74,74.0,74,21904.0,999999,0,0,0,0.0,1.0630053333333331,2.186676,2.3062278329797916,9999,0,0,0,eth:ethertype:ip:tcp,3,0
103,1.009724,3.029172000,0,0,3,0,41270,60276,192.168.20.106,154.160.1.78,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,0,478750708,74,74.0,74,21904.0,999999,0,0,0,0.0,1.009724,2.026675,2.182375983205613,9999,0,0,0,eth:ethertype:ip:tcp,3,0
104,1.1209141666666667,6.725485000,0,0,6,0,44418,10273,192.168.20.106,41.73.107.219,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,2102605269,3680595528,54,58.0,74,53888.0,58,58.0,58,0.0,0.0,1.2874234,3.626582,5.322834182710447,0.288368,0.288368,0.288368,0.0,eth:ethertype:ip:tcp,5,1
105,0.6618781176470588,11.251928000,0,0,17,0,44430,443,192.168.20.106,52.114.74.43,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,829358567,1959413595,66,127.8,583,1346741.0,54,936.4285714285714,1792,32125368.285714287,0.0,1.0384995,10.382952,9.85185598480781,0.000493,0.12384757142857142,0.23775,0.7507126623948739,eth:ethertype:ip:tcp,10,7
106,0.7919164285714285,5.543415000,0,0,7,0,41038,1024,192.168.20.106,45.121.88.70,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,2090078727,1782798201,66,85.0,134,65836.0,66,68.66666666666667,74,18874.666666666664,0.0,1.1752464999999999,4.506968,4.0171173600997765,0.252127,0.2808096666666667,0.296297,0.5619862087287671,eth:ethertype:ip:tcp,4,3
107,1.0493601666666665,6.296161000,0,0,6,0,58302,12175,192.168.20.106,197.210.47.38,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,3039415031,3101702103,54,58.0,74,53888.0,58,58.0,58,0.0,0.0,1.2049566,3.360142,4.978767874896358,0.271378,0.271378,0.271378,0.0,eth:ethertype:ip:tcp,5,1
108,0.6927077500000001,5.541662000,0,0,8,0,35334,6890,192.168.20.106,51.15.248.198,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,577582839,716618871,66,81.2,134,106201.6,66,68.66666666666667,74,18874.666666666664,0.0,0.9339230000000001,4.511158,4.142258765613756,0.286178,0.2906823333333333,0.294205,0.5813743168315344,eth:ethertype:ip:tcp,5,3
109,1.0197596666666666,3.059279000,0,0,3,0,36368,34359,192.168.20.106,200.222.177.108,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,0,4019565861,74,74.0,74,21904.0,999999,0,0,0,0.0,1.0197596666666666,2.053373,2.205098301497842,9999,0,0,0,eth:ethertype:ip:tcp,3,0
110,0.0012835,0.002567000,0,0,2,0,36198,6881,192.168.20.106,182.187.109.1,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,2820392652,0,74,74.0,74,0.0,54,54.0,54,0.0,0.0,0.0,0,0.0,0.002567,0.002567,0.002567,0.0,eth:ethertype:ip:tcp,1,1
111,0.02929932,0.732483000,0,0,25,0,44724,443,192.168.20.106,13.76.217.211,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,2575472371,3140752779,66,199.66666666666666,1289,7915291.733333331,66,737.7,1977,44627522.7,0.0,0.00027446666666666665,0.001939,0.0038730630427780714,5e-05,0.0728366,0.213269,0.6614263161427734,eth:ethertype:ip:tcp,15,10
112,1.0198923333333332,3.059677000,0,0,3,0,56252,13313,192.168.20.106,196.194.204.141,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,0,1395877609,74,74.0,74,21904.0,999999,0,0,0,0.0,1.0198923333333332,2.053264,2.2053256391890668,9999,0,0,0,eth:ethertype:ip:tcp,3,0
113,0.0,0.000000000,0,0,1,0,37256,37780,192.168.20.106,181.161.60.123,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,0,186727345,74,74.0,74,0.0,999999,0,0,0,0.0,0.0,0,0.0,9999,0,0,0,eth:ethertype:ip:tcp,1,0
114,1.0745013333333333,3.223504000,0,0,3,0,49618,52984,192.168.20.106,41.246.129.192,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,0,3106786956,74,74.0,74,21904.0,999999,0,0,0,0.0,1.0745013333333333,2.213365,2.331690621313357,9999,0,0,0,eth:ethertype:ip:tcp,3,0
115,1.4786431428571427,10.350502000,0,0,7,0,34862,6881,192.168.20.106,46.97.170.136,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,2594457061,4286679422,54,57.333333333333336,74,82233.33333333333,58,58.0,58,0.0,0.0,1.6894808333333333,5.333372,8.648581696125873,0.213617,0.213617,0.213617,0.0,eth:ethertype:ip:tcp,6,1
116,0.0134045,0.026809000,0,0,2,0,36192,6881,192.168.20.106,182.187.109.1,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,3964645414,0,74,74.0,74,0.0,54,54.0,54,0.0,0.0,0.0,0,0.0,0.026809,0.026809,0.026809,0.0,eth:ethertype:ip:tcp,1,1
117,0.7917931428571429,5.542552000,0,0,7,0,33228,42841,192.168.20.106,45.121.91.213,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,2974786160,2947049921,66,85.0,134,65836.0,66,68.66666666666667,74,18874.666666666664,0.0,1.17654075,4.510673,4.02120340484708,0.249891,0.27879633333333337,0.294289,0.557967796682449,eth:ethertype:ip:tcp,4,3
118,0.28248744444444446,2.542387000,0,0,9,0,7638,40982,211.26.203.200,192.168.20.106,00:60:64:ef:aa:ae,0c:8b:fd:18:40:2f,3995287429,2337660736,66,70.0,78,78425.6,66,100.0,134,91156.0,0.0,0.23098860000000002,0.520656,0.944835860560341,5.6e-05,0.34686100000000003,1.218693,1.1579084092766148,eth:ethertype:ip:tcp,5,4
119,0.7823647142857143,5.476553000,0,0,7,0,41168,43587,192.168.20.106,103.247.51.110,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,1582259902,2224560587,66,85.0,134,65836.0,66,68.66666666666667,74,18874.666666666664,0.0,1.2052880000000001,4.820972,4.175188147135229,0.199229,0.218467,0.229543,0.43714732746600055,eth:ethertype:ip:tcp,4,3
120,0.153520875,1.228167000,0,0,8,0,50184,23883,192.168.20.106,2.103.161.243,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,1341571320,202377715,66,81.2,134,106201.6,66,68.66666666666667,74,18874.666666666664,0.0,0.0847962,0.226405,0.3544652654639097,0.22089,0.268062,0.302306,0.5372311148943876,eth:ethertype:ip:tcp,5,3
121,0.4953409642857142,13.869547000,0,0,28,0,44428,443,192.168.20.106,52.114.74.43,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,851205543,1313018946,66,443.4117647058824,1494,50577384.47058823,66,698.8181818181819,2946,49606265.27272728,0.0,0.7487742941176471,12.718152,12.348434842087268,8.7e-05,0.10367127272727274,0.30107,1.042703524077238,eth:ethertype:ip:tcp,17,11
