flow_no,inter_pkt_arrival,duration,connection_status,land,no_of_wrong_frags,no_of_urgent,src_port,dst_port,src_ip,dst_ip,src_mac,dst_mac,src_bytes,dst_bytes,minfpktl,meanfpktl,maxfpktl,stdfpktl,minbpktl,meanbpktl,maxbpktl,stdbpktl,minfiat,meanfiat,maxfiat,stdfiat,minbiat,meanbiat,maxbiat,stdbiat,protocol,fpackets,bpackets
0,0.0,0.000000000,0,0,1,0,34806,36024,192.168.20.106,45.168.112.125,00:60:64:ef:aa:ae,0c:8b:fd:18:40:2f,0,,102,102.0,102,0.0,999999,0,0,0,0.0,0.0,0,0.0,9999,0,0,0,eth:ethertype:ip:icmp:ip:tcp,1,0
1,0.0,0.000000000,0,0,1,0,33016,61199,192.168.20.106,41.223.72.37,00:60:64:ef:aa:ae,0c:8b:fd:18:40:2f,,,70,70.0,70,0.0,999999,0,0,0,0.0,0.0,0,0.0,9999,0,0,0,eth:ethertype:ip:icmp:ip:tcp,1,0
2,0.0,0.000000000,0,0,1,0,,,192.168.0.1,224.0.0.1,14:cc:20:66:b8:ea,01:00:5e:00:00:01,,,46,46.0,46,0.0,999999,0,0,0,0.0,0.0,0,0.0,9999,0,0,0,eth:ethertype:ip:igmp:igmp,1,0
3,0.0,0.000000000,0,0,1,0,43040,48508,192.168.20.106,103.117.61.64,00:60:64:ef:aa:ae,0c:8b:fd:18:40:2f,0,,102,102.0,102,0.0,999999,0,0,0,0.0,0.0,0,0.0,9999,0,0,0,eth:ethertype:ip:icmp:ip:tcp,1,0
4,0.0,0.000000000,0,0,1,0,38092,14157,192.168.20.106,109.236.133.166,00:60:64:ef:aa:ae,0c:8b:fd:18:40:2f,,,70,70.0,70,0.0,999999,0,0,0,0.0,0.0,0,0.0,9999,0,0,0,eth:ethertype:ip:icmp:ip:tcp,1,0
5,0.0,0.000000000,0,0,1,0,48944,25376,192.168.20.106,41.223.74.102,00:60:64:ef:aa:ae,0c:8b:fd:18:40:2f,,,70,70.0,70,0.0,999999,0,0,0,0.0,0.0,0,0.0,9999,0,0,0,eth:ethertype:ip:icmp:ip:tcp,1,0
6,0.0,0.000000000,0,0,1,0,,,192.168.20.106,224.0.0.251,0c:8b:fd:18:40:2f,01:00:5e:00:00:fb,,,46,46.0,46,0.0,999999,0,0,0,0.0,0.0,0,0.0,9999,0,0,0,eth:ethertype:ip:igmp:igmp,1,0
7,11.477333999999999,57.386670000,0,0,5,0,55804,1032,192.168.20.106,89.8.43.27,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,2148894491,2870707335,122,122.0,122,238144.0,999999,0,0,0,0.0,11.477333999999999,30.716675,47.17982082555694,9999,0,0,0,eth:ethertype:ip:tcp:bittorrent,5,0
8,0.0,0.000000000,0,0,1,0,39882,44231,192.168.20.106,197.210.47.20,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,1531397779,1481894129,54,54.0,54,0.0,999999,0,0,0,0.0,0.0,0,0.0,9999,0,0,0,eth:ethertype:ip:tcp,1,0
9,-396594973.823519,-1586379895.294076000,0,1,0,0,,,,,40:2f:08:00:45:00,aa:ae:0c:8b:fd:18,,,71,131107.5,262144,171873153338.5,71,131107.5,262144,171873153338.5,-1586379895.294076,-396594973.823519,1586379895.294076,1773626642.0082762,-1586379895.294076,-396594973.823519,1586379895.294076,1773626642.0082762,eth:llc:data,4,4
10,-396594974.676848,-1586379898.707392000,0,1,0,0,,,,,40:2f:08:00:45:00,aa:ae:0c:8b:fd:18,,,54,131099.0,262144,171855322234.0,54,131099.0,262144,171855322234.0,-1586379898.707392,-396594974.676848,1586379898.707392,1773626645.8244796,-1586379898.707392,-396594974.676848,1586379898.707392,1773626645.8244796,eth:llc:data,4,4
11,5687905.497974798,1126205288.599010000,0,0,197,0,45946,10720,192.168.20.106,77.134.147.210,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,54,62.36904761904762,207,26797812.60714288,54,1356.1946902654868,4410,23072136956.24776,0.0,0.15436158333333325,1.990813,12.819417432381153,-4.7e-05,0.060213256637168144,0.328746,6.744679522913704,eth:ethertype:ip:tcp:data,84,113
12,20.266651250000002,81.066605000,0,0,4,0,37518,23981,192.168.20.106,77.219.2.14,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,3695542956,4270450758,54,54.0,54,26244.0,999999,0,0,0,0.0,20.266651250000002,46.079777,63.14732461389943,9999,0,0,0,eth:ethertype:ip:tcp,4,0
13,18.7732325,37.546465000,0,0,2,0,53364,6881,192.168.20.106,62.44.138.47,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,2176702184,665419161,122,122.0,122,14884.0,999999,0,0,0,0.0,18.7732325,37.546465,26.549360011083365,9999,0,0,0,eth:ethertype:ip:tcp:bittorrent,2,0
14,0.0,0.000000000,0,0,1,0,49578,64064,192.168.20.106,197.210.47.80,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,2678740794,2091927388,54,54.0,54,0.0,999999,0,0,0,0.0,0.0,0,0.0,9999,0,0,0,eth:ethertype:ip:tcp,1,0
15,0.0,0.000000000,0,0,1,0,50618,17215,192.168.20.106,197.210.64.156,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,2561036912,946002712,54,54.0,54,0.0,999999,0,0,0,0.0,0.0,0,0.0,9999,0,0,0,eth:ethertype:ip:tcp,1,0
