flow_no,inter_pkt_arrival,duration,connection_status,land,no_of_wrong_frags,no_of_urgent,src_port,dst_port,src_ip,dst_ip,src_mac,dst_mac,src_bytes,dst_bytes,minfpktl,meanfpktl,maxfpktl,stdfpktl,minbpktl,meanbpktl,maxbpktl,stdbpktl,minfiat,meanfiat,maxfiat,stdfiat,minbiat,meanbiat,maxbiat,stdbiat,protocol,fpackets,bpackets
634,281551018.961524,1126204075.846096000,0,0,3,0,50840,45682,192.168.20.106,185.175.35.188,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,74,74.0,74,21904.0,999999,0,0,0,0.0,1.0748493333333335,2.213197,2.3322936929350617,9999,0,0,0,eth:ethertype:ip:tcp,3,0
635,4712150.760863427,1126204031.846359000,0,0,238,0,60086,18572,192.168.20.106,136.169.11.247,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,54,70.32,736,27084531.093333334,54,1366.1717791411043,5862,48982913569.20254,0.0,0.14360734666666666,2.131283,10.634536052152136,4.3e-05,0.12285300000000002,1.290757,19.903835608344835,eth:ethertype:ip:tcp,75,163
636,281551022.6492473,1126204090.596989000,0,0,3,0,44700,34997,192.168.20.106,160.152.18.225,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,74,74.0,74,21904.0,999999,0,0,0,0.0,1.0140719999999999,2.026738,2.190429233414005,9999,0,0,0,eth:ethertype:ip:tcp,3,0
637,45048163.623828486,1126204090.595712000,0,0,24,0,41092,35455,192.168.20.106,190.98.63.113,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,54,62.53333333333333,122,766757.3333333333,54,293.0,759,5588178.888888889,0.0,0.21553613333333332,2.026829,3.0664175345765945,0.153532,1.2322778888888888,3.209697,9.90765332844397,eth:ethertype:ip:tcp,15,9
638,102382187.03539819,1126204057.389380000,0,0,10,0,37504,40614,192.168.20.106,114.79.46.78,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,54,101.55555555555556,122,660931.5555555555,58,58.0,58,0.0,0.0,5.175362,24.320104,42.11132804700711,0.482974,0.482974,0.482974,0.0,eth:ethertype:ip:tcp,9,1
639,26814381.76554086,1126204034.152716000,0,0,41,0,60102,443,192.168.20.106,216.58.207.97,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,66,138.3913043478261,664,9296863.652173914,66,248.77777777777777,1484,18002323.888888888,0.0,0.8300649130434783,19.038001,18.66947580794965,5e-06,0.17443233333333333,0.620793,2.9736310820015244,eth:ethertype:ip:tcp,23,18
640,281551007.9616485,1126204031.846594000,0,0,3,0,33302,28950,192.168.20.106,131.148.34.106,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,74,74.0,74,21904.0,999999,0,0,0,0.0,1.0572296666666665,2.159993,2.2911939877995198,9999,0,0,0,eth:ethertype:ip:tcp,3,0
641,1804814.24134162,1126204086.597171000,0,0,623,0,52890,55186,192.168.20.106,77.202.67.117,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,54,64.0464135021097,586,228463220.18565497,54,1524.1165803108809,13122,344318203632.56177,0.0,0.19562902109704636,2.838492,46.171202799725265,-4.6e-05,0.10332038341968913,0.928478,39.778771683798695,eth:ethertype:ip:tcp,237,386
642,375401364.13239264,1126204092.397178000,0,0,2,0,35484,49160,192.168.20.106,41.87.11.253,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,74,74.0,74,0.0,54,54.0,54,0.0,0.0,0.0,0,0.0,0.480399,0.480399,0.480399,0.0,eth:ethertype:ip:tcp,1,1
643,375401336.3655813,1126204009.096744000,0,0,2,0,36296,49160,192.168.20.106,41.87.11.253,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,74,74.0,74,0.0,54,54.0,54,0.0,0.0,0.0,0,0.0,0.771293,0.771293,0.771293,0.0,eth:ethertype:ip:tcp,1,1
644,125133784.15489422,1126204057.394048000,0,0,8,0,40424,28314,192.168.20.106,41.73.107.156,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,54,56.857142857142854,74,116427.42857142857,58,58.0,58,0.0,0.0,5.929491571428571,21.333357,36.294214797641004,0.439383,0.439383,0.439383,0.0,eth:ethertype:ip:tcp,7,1
645,66247295.28340413,1126204019.817870000,0,0,16,0,53246,443,192.168.20.106,104.18.89.237,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,54,120.77777777777777,571,959324.4444444445,54,516.2857142857143,1506,9947581.714285715,0.0,1.2636965555555555,11.372409,10.722719498658838,1.2e-05,0.19376842857142856,0.373826,1.1745766176242887,eth:ethertype:ip:tcp,9,7
646,281551010.1498432,1126204040.599373000,0,0,3,0,36832,34550,192.168.20.106,41.105.233.149,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,74,74.0,74,21904.0,999999,0,0,0,0.0,1.059275,2.160059,2.294941847110873,9999,0,0,0,eth:ethertype:ip:tcp,3,0
