flow_no,inter_pkt_arrival,duration,connection_status,land,no_of_wrong_frags,no_of_urgent,src_port,dst_port,src_ip,dst_ip,src_mac,dst_mac,src_bytes,dst_bytes,minfpktl,meanfpktl,maxfpktl,stdfpktl,minbpktl,meanbpktl,maxbpktl,stdbpktl,minfiat,meanfiat,maxfiat,stdfiat,minbiat,meanbiat,maxbiat,stdbiat,protocol,fpackets,bpackets
0,0.0,0.000000000,0,1,0,0,,,,,45:00:00:39:de:84,fd:18:40:2f:08:00,,,71,71.0,71,0.0,71,71.0,71,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,eth:ethertype:data,1,1
1,0.0,0.000000000,0,1,0,0,,,,,45:00:00:28:27:3d,fd:18:40:2f:08:00,,,54,54.0,54,0.0,54,54.0,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,eth:ethertype:data,1,1
2,5687905.497974798,1126205288.599010000,0,0,197,0,45946,10720,192.168.20.106,77.134.147.210,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,54,62.36904761904762,207,26797812.60714288,54,1356.1946902654868,4410,23072136956.24776,0.0,0.15436158333333325,1.990813,12.819417432381153,-4.7e-05,0.060213256637168144,0.328746,6.744679522913704,eth:ethertype:ip:tcp:data,84,113
3,6022488.175643523,1126205288.845339000,0,0,186,0,51315,36256,177.30.73.89,192.168.20.106,00:60:64:ef:aa:ae,0c:8b:fd:18:40:2f,,,66,1396.2072072072071,4386,23588069869.7477,66,70.16,102,26955263.27999999,0.0,0.10838227927927933,0.974715,11.924513910538767,1.2e-05,0.12150733333333336,1.662488,8.99927647674025,eth:ethertype:ip:tcp,111,75
4,5716778.112177655,1126205288.098998000,0,0,196,0,60058,40646,192.168.20.106,86.99.92.130,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,66,72.58823529411765,178,37178739.36470587,66,1396.7027027027027,5826,23605253527.83785,0.0,0.16501838823529416,1.757168,13.868566057756151,-2.8e-05,0.05964863963963966,0.419633,6.56214921270552,eth:ethertype:ip:tcp:data,85,111
5,281551319.002632,1126205276.010528000,0,0,3,0,39748,44254,103.254.204.73,192.168.20.106,00:60:64:ef:aa:ae,0c:8b:fd:18:40:2f,,,66,66.0,66,4356.0,66,66.0,66,0.0,0.0,0.87114,1.74228,1.2319780027256981,4e-05,4e-05,4e-05,0.0,eth:ethertype:ip:tcp,2,1
6,0.0,0.000000000,0,1,0,0,,,,,45:00:00:28:0a:fa,fd:18:40:2f:08:00,,,54,54.0,54,0.0,54,54.0,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,eth:ethertype:data,1,1
7,0.0,0.000000000,0,1,0,0,,,,,45:00:00:28:e1:6e,fd:18:40:2f:08:00,,,54,54.0,54,0.0,54,54.0,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,eth:ethertype:data,1,1
8,6951884.496285951,1126205288.398324000,0,0,161,0,35620,62442,192.168.20.106,111.220.174.36,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,54,63.0,180,9529915.680000005,54,1383.4864864864865,14174,23161627889.567566,0.0,0.15550410000000003,1.434232,7.628458051303061,1e-06,0.11716203603603609,0.860836,12.889802268334796,eth:ethertype:ip:tcp:data,50,111
9,32177293.931360483,1126205287.597617000,0,0,34,0,56632,6881,192.168.20.106,39.37.132.3,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,66,90.88235294117646,210,2116359.5294117653,66,66.94117647058823,78,1147175.5294117646,0.0,0.9600943529411765,6.7929,15.450180790906646,0.057905,0.1359435294117647,0.366294,2.1763359505431303,eth:ethertype:ip:tcp:bittorrent,17,17
10,375401756.6160193,1126205269.848058000,0,0,2,0,33498,443,192.168.20.106,172.217.19.165,0c:8b:fd:18:40:2f,00:60:64:ef:aa:ae,,,66,66.0,66,0.0,66,66.0,66,0.0,0.0,0.0,0,0.0,0.099057,0.099057,0.099057,0.0,eth:ethertype:ip:tcp,1,1
